,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
01-11-03-008 C H 91931,"CABO DE COBRE FLEXÖVEL ISOLADO, 6 MMý, ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91931","  2.000,00 "," R$  8,38 "," R$  16.760,00 ","0,3412204785","87,07520276",B
01-12-01-004 C H 101907,"EXTINTOR DE INCÒNDIO PORTµTIL COM CARGA DE CO2 DE 6 KG, CLASSE BC - FORNECIMENTO E INSTALA€ÇO. AF_10/2020_PE CS: 101907","  24,00 "," R$  690,60 "," R$  16.574,40 ","0,3374418078","87,41264457",B
64-23-74-184 O H,"ELETRODUTO DE PVC COM CONEXÕES, 3/4``COR BRANCA - FORNECIMENTO E INSTALAÇÃO","  850,00 "," R$  18,72 "," R$  15.912,00 ","0,3239558624","87,73660043",B
63-20-11-004 O ,PINTURA ACRÍLICA SEMI-BRILHO SUVINIL NACOR BRANCO NEVE,"  360,00 "," R$  43,28 "," R$  15.580,80 ","0,3172128897","88,05381332",B
64-23-74-099 O H,CANALETA DE PVC 110X20MM SISTEMA X,"  220,00 "," R$  69,73 "," R$  15.340,60 ","0,3123226058","88,36613593",B
62-23-74-297 U ,"REVESTIMENTO CERÂMICO RETIFICADO 30 X 60BRANCO COM ACABAMENTO ACETINADO DA PORTOBELLO, OU EQUIVALENTE TÉCNICO, ASSENTADOCOM ARGAMASSA INDUSTRIALIZADO AC III, INCLUSIVE REJUNTE","  75,00 "," R$  193,91 "," R$  14.543,25 ","0,296089184","88,66222511",B
"01-13-01-040 C H
89865","TUBO, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALA€ÇO. AF_08/2022 CS: 89865","  900,00 "," R$  16,09 "," R$  14.481,00 ","0,2948218227","88,95704694",B
65-21-03-014 O ,"LOCAÇÃO DE ANDAIME METÁLICO TUBULAR TIPOTORRE 1X1,5M, INCLUSIVE PISO METÁLICO DE 1X1,5M E RODÍZIOS DE POLIURETANO COM FREIOS","  100,00 "," R$  130,03 "," R$  13.003,00 ","0,2647308999","89,22177784",B
62-23-68-036 O H,BUCHA COM ARRUELA EM ZAMAK P/ELETRODUTO Ø 32 MM (1 1/4),"  1.000,00 "," R$  12,00 "," R$  12.000,00 ","0,2443106051","89,46608844",B
66-23-90-033 O H,ELETRODUTO GALVANIZADO DIAMETRO 3/4 - FORNECIMENTO E INSTALA€ÇO,"  800,00 "," R$  14,77 "," R$  11.814,88 ","0,2405417069","89,70663015",B
64-23-21-672 U H,DETECTOR àPTICO DE FUMA€A TERMOVELOCIMTRICO ENDERE€µVEL - FORNECIMENTO E INSTALA€ÇO,"  50,00 "," R$  230,06 "," R$  11.503,00 ","0,2341920742","89,94082222",B
62-23-74-184 O H,"TUBULA€ÇO FRIGORÖGENA DE INTERLIGA€ÇO P/ SPLIT 60.000 BTUïS/H, COM TUBO DE COBRE E CABO PP 4X2,5MM, FITA ISOLANTE TRMICA ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALVANIZADA COM MÇO-DE-OBRA PARA 20,0M","  4,00 "," R$  2.612,95 "," R$  10.451,80 ","0,2127904652","90,15361269",B
01-12-05-010 C H,"PATCH PANEL 48 PORTAS, CATEGORIA 6 - FORNECIMENTO E INSTALAÇÃO. AF_11/2019 CS: 98304","  3,00 "," R$  3.097,12 "," R$  9.291,36 ","0,1891648153","90,3427775",B
62-23-65-149 U H,TIRANTE ROSCA TOTAL 5/16 - FORNECIMENTO E INSTALAÇÃO,"  460,00 "," R$  20,13 "," R$  9.259,80 ","0,1885222785","90,53129978",B
62-23-68-087 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 60X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  4,00 "," R$  2.225,53 "," R$  8.902,12 ","0,1812401937","90,71253997",B
62-23-68-087 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 60X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  4,00 "," R$  2.225,53 "," R$  8.902,12 ","0,1812401937","90,89378017",B
63-21-11-107 O ,TRANSPORTE HORIZONTAL DE MATERIAIS DIVERSOS A 60M DE DISTÂNCIA COM CARRINHO OUJERICA.,"  100,00 "," R$  88,56 "," R$  8.856,00 ","0,1803012266","91,07408139",B
63-24-20-412 U ,"PORTA EM ALUMÍNIO ANODIZADO BRANCO, VENEZIANA, DE ABRIR, 0,80 X 2,10M - FORNECIMENTO E INSTALAÇÃO","  3,00 "," R$  2.855,94 "," R$  8.567,82 ","0,1744341074","91,2485155",B
64-23-23-576 O ,RETIRADA DE ENTULHO DA OBRA UTILIZANDOCAIXA COLETORA METÁLICA PARA ATÉ 5M3,"  20,00 "," R$  411,08 "," R$  8.221,60 ","0,1673853393","91,41590084",B
01-13-10-059 C H,"SUPORTE PARA ELETROCALHA LISA OU PERFURA DA EM AÇO GALVANIZADO, LARGURA 400 MM, EM PERFILADO COM COMPRIMENTO DE 45 CM FIXADO EM LAJE, POR METRO DE ELETROCALHA FIXADA. AF_09/2023 CS: 96562","  180,00 "," R$  45,65 "," R$  8.217,00 ","0,1672916869","91,58319253",B
"02-01-01-024 O H
88264",ADICIONAL DE HORA EXTRA AOS SÁBADOS 70% -ELETRICISTA COM ENCARGOS COMPLEMENTARES CS:88264,"  440,00 "," R$  18,30 "," R$  8.052,00 ","0,163932416","91,74712494",B
62-23-65-100 O H,"CAIXA DE PASSAGEM EM PVC, SOBREPOR, DIMENSÕES 20X20X10 CM - FORNECIMENTO E INSTALAÇÃO - ELÉTRICA","  42,00 "," R$  186,62 "," R$  7.838,04 ","0,159576358","91,9067013",B
62-23-65-172 O H,"ELETRODUTO DE PVC COM CONEXÕES, 1``COR BRANCA","  350,00 "," R$  21,54 "," R$  7.539,00 ","0,1534881377","92,06018944",B
62-23-65-002 U H,"TOMADA SISTEMA X  2P+T,  PADRÃO BRASILEIRO DUPLA 10A, 250VCA CONFORME ABNT NBR14136, A 0,40 DE ALTURA","  150,00 "," R$  50,17 "," R$  7.525,50 ","0,1532132882","92,21340273",B
63-24-20-203 O H,"INSTALA€ÇO DE CONDICIONADOR DE AR TIPO SPLIT HIGH WALL, 18.000 BTU/H - APENAS M.O. (NOVO)","  11,00 "," R$  666,00 "," R$  7.326,00 ","0,1491516244","92,36255435",B
63-23-91-019 O ,"PORTA DE MADEIRA MACIÇA COMPLETA, COM FECHADURA - INSTALADA","  11,76 "," R$  584,74 "," R$  6.876,54 ","0,1400010196","92,50255537",B
62-23-68-002 U H,"BLOCO AUTÔNOMO DE ILUMINAÇÃO DE EMERGÊNCIA (ACLARAMENTO)30 LEDS SEM PICTOGRAMA, LED DE 2W DE ALTA INTENSIDADE.","  30,00 "," R$  225,85 "," R$  6.775,50 ","0,1379438754","92,64049925",B
65-21-13-310 U ,CARGA MANUAL DE RESÍDUOS DE NATUREZAS DIVERSAS EM CAMINHÃO COM CARROCERIA,"  100,00 "," R$  66,88 "," R$  6.688,00 ","0,1361624439","92,77666169",B
