CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
63-23-01-993 O H,AVISADOR AUDIO VISUAL ENDERE€µVEL - FORNECIMENTO E INSTALACAO,"  22,00 ","R$ 251,81","R$ 5.539,82","0,1405331438","117,1762369",B
01-18-01-022 O ,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, UMA DEMÃO, LIXAMENTO MANUAL. AF_04/2023 CS: 88495","  360,00 ","R$ 15,33","R$ 5.518,80","0,1399999123","117,3162368",B
62-23-74-076 U H,"ABRACADEIRA EM ACO =3/4, TIPO D, C/ PARAFUSO DE FIXACAO","  800,00 ","R$ 6,82","R$ 5.456,00","0,1384068134","117,4546436",B
63-09-01-002 U H,ELETROCALHA PERFURADA EM AÇO GALVANIZADO 200X100X3000MM COM TAMPA - FORNECIMENTO E INSTALAÇÃO,"  37,00 ","R$ 140,80","R$ 5.209,60","0,1321561831","117,5867998",B
63-21-03-025 O H,SUPORTE EM CHAPA DE AÇO PARA PERFILADO - FORNECIMENTO E INSTALAÇÃO,"  375,00 ","R$ 13,73","R$ 5.148,75","0,1306125514","117,7174124",B
63-21-05-079 O ,LIMPEZA FINAL DA OBRA (9537),"  1.000,00 ","R$ 5,01","R$ 5.010,00","0,1270927667","117,8445051",B
01-11-03-004 C H 91927,"CABO DE COBRE FLEXÖVEL ISOLADO, 2,5 MMý, ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALACAO. AF _03/2023 CS: 91927","  1.200,00 ","R$ 4,06","R$ 4.872,00","0,1235920078","117,9680971",B
63-21-03-029 O H,PORCA E ARRUELA PARA PARAFUSOS COM Ø=1/4- FORNECIMENTO E INSTALAÇÃO,"  1.200,00 ","R$ 3,72","R$ 4.464,00","0,1132419382","118,0813391",B
64-23-74-096 O H,CAIXA DE SOBREPOR SISTEMA X P/ CANALETA 110X20MM,"  150,00 ","R$ 28,84","R$ 4.326,00","0,1097411794","118,1910803",B
62-23-74-118 O H,"SUPORTE MÇO FRANCESA EM PERFIS GALVANIZADOS PARA UNIDADES COND. 18000BTUS (PAR), INCLUSIVE PARAFUSOS DE FIXACAO - INSTALADO","  27,00 ","R$ 156,33","R$ 4.220,91","0,1070752754","118,2981555",B
63-24-20-206 O H,"INSTALACAO DE CONDICIONADOR DE AR TIPO SPLIT PISO-TETO, 36.000 BTU/H - APENAS M.O. (NOVO)","  4,00 ","R$ 1.017,50","R$ 4.070,00","0,103247018","118,4014025",B
64-23-74-097 O H,"DERIVAÇÃO DE 110X20MM, SISTEMA X","  190,00 ","R$ 21,35","R$ 4.056,50","0,1029045525","118,5043071",B
"01-13-10-023 C H
90462","SUPORTE PARA 2 TUBOS VERTICAIS, ESPACEADO A CADA 150 CM, EM PERFILADO COM COMPRIMENTO DE 25 CM FIXADO EM PAREDE, POR METRO DE TUBULACAO FIXADA. AF_09/2023 CS: 90462","  900,00 ","R$ 4,48","R$ 4.032,00","0,102283041","118,6065901",B
66-23-91-143 U ,CARGA MANUAL DE ENTULHO EM CAMINHAO BASCULANTE 6 M3  (72897),"  100,00 ","R$ 39,85","R$ 3.985,00","0,1010907535","118,7076809",B
63-22-04-032 O H,"CONDULETE DE ALUMÖNIO, TIPO TB, PARA ELE TRODUTO DE A€O GALVANIZADO DN 20 MM (3/4), COM TAMPA, APARENTE - FORNECIMENTO E INSTALACAO","  110,00 ","R$ 35,78","R$ 3.935,80","0,0998426569","118,8075236",B
66-23-25-002 U H,"CENTRAL DE ALARME ENDERE€AVEL, 2 LA€OS COM AT 250 DISPOSITIVOS CADA - FORNECIMENTO E INSTALACAO","  1,00 ","R$ 3.821,96","R$ 3.821,96","0,09695478453","118,9044783",B
